1576903.944462 5101289.499984              CB82-08 410.00 1.4333 0
1576885.972231 5101306.749992              CB82-08 411.00 1.4328 0
1576868.000000 5101324.000000              CB82-08 412.00 1.4324 0
1576849.500000 5101340.687500              CB82-08 413.00 1.4321 0
1576831.000000 5101357.375000              CB82-08 414.00 1.4317 0
1576812.500000 5101374.062500              CB82-08 415.00 1.4315 0
1576794.000000 5101390.750000              CB82-08 416.00 1.4312 0
1576775.500000 5101407.437500              CB82-08 417.00 1.4312 0
1576757.000000 5101424.125000              CB82-08 418.00 1.4315 0
1576738.500000 5101440.812500              CB82-08 419.00 1.4314 0
1576720.000000 5101457.500000              CB82-08 420.00 1.4311 0
1576701.500000 5101474.187500              CB82-08 421.00 1.4308 0
1576683.000000 5101490.875000              CB82-08 422.00 1.4304 0
1576664.500000 5101507.562500              CB82-08 423.00 1.4300 0
1576646.000000 5101524.250000              CB82-08 424.00 1.4300 0
1576627.500000 5101540.937500              CB82-08 425.00 1.4299 0
1576609.000000 5101557.625000              CB82-08 426.00 1.4299 0
1576590.500000 5101574.312500              CB82-08 427.00 1.4299 0
1576572.000000 5101591.000000              CB82-08 428.00 1.4298 0
1576554.157895 5101608.157895              CB82-08 429.00 1.4297 0
1576536.315789 5101625.315790              CB82-08 430.00 1.4296 0
1576518.473686 5101642.473682              CB82-08 431.00 1.4298 0
1576500.631578 5101659.631579              CB82-08 432.00 1.4303 0
1576482.789470 5101676.789477              CB82-08 433.00 1.4299 0
1576464.947373 5101693.947364              CB82-08 434.00 1.4294 0
1576447.105265 5101711.105262              CB82-08 435.00 1.4287 0
1576429.263157 5101728.263159              CB82-08 436.00 1.4280 0
1576411.421049 5101745.421056              CB82-08 437.00 1.4276 0
1576393.578941 5101762.578954              CB82-08 438.00 1.4273 0
1576375.736843 5101779.736841              CB82-08 439.00 1.4269 0
1576357.894745 5101796.894729              CB82-08 440.00 1.4265 0
1576340.052627 5101814.052636              CB82-08 441.00 1.4263 0
1576322.210530 5101831.210523              CB82-08 442.00 1.4263 0
1576304.368411 5101848.368430              CB82-08 443.00 1.4261 0
1576286.526314 5101865.526318              CB82-08 444.00 1.4261 0
1576268.684216 5101882.684205              CB82-08 445.00 1.4259 0
1576250.842098 5101899.842112              CB82-08 446.00 1.4255 0
1576233.000000 5101917.000000              CB82-08 447.00 1.4251 0
1576215.126761 5101934.450704              CB82-08 448.00 1.4245 0
1576197.253522 5101951.901408              CB82-08 449.00 1.4240 0
1576179.380283 5101969.352112              CB82-08 450.00 1.4240 0
1576161.507044 5101986.802816              CB82-08 451.00 1.4237 0
1576143.633800 5102004.253524              CB82-08 452.00 1.4232 0
1576125.760565 5102021.704223              CB82-08 453.00 1.4224 0
1576107.887322 5102039.154932              CB82-08 454.00 1.4219 0
1576090.014087 5102056.605631              CB82-08 455.00 1.4215 0
1576072.140853 5102074.056330              CB82-08 456.00 1.4213 0
1576054.267600 5102091.507048              CB82-08 457.00 1.4209 0
1576036.394365 5102108.957748              CB82-08 458.00 1.4205 0
1576018.521131 5102126.408447              CB82-08 459.00 1.4203 0
1576000.647896 5102143.859146              CB82-08 460.00 1.4201 0
1575982.774643 5102161.309864              CB82-08 461.00 1.4199 0
1575964.901409 5102178.760563              CB82-08 462.00 1.4195 0
1575947.028174 5102196.211262              CB82-08 463.00 1.4191 0
1575929.154921 5102213.661980              CB82-08 464.00 1.4189 0
1575911.281706 5102231.112661              CB82-08 465.00 1.4185 0
1575893.408452 5102248.563379              CB82-08 466.00 1.4182 0
1575875.535199 5102266.014096              CB82-08 467.00 1.4179 0
1575857.661984 5102283.464777              CB82-08 468.00 1.4174 0
1575839.788730 5102300.915495              CB82-08 469.00 1.4170 0
1575821.915477 5102318.366213              CB82-08 470.00 1.4166 0
1575804.042262 5102335.816894              CB82-08 471.00 1.4162 0
1575786.169008 5102353.267611              CB82-08 472.00 1.4156 0
1575768.295793 5102370.718292              CB82-08 473.00 1.4151 0
1575750.422539 5102388.169010              CB82-08 474.00 1.4146 0
1575732.549286 5102405.619728              CB82-08 475.00 1.4143 0
1575714.676071 5102423.070408              CB82-08 476.00 1.4141 0
1575696.802817 5102440.521126              CB82-08 477.00 1.4139 0
1575678.929564 5102457.971844              CB82-08 478.00 1.4137 0
1575661.056349 5102475.422525              CB82-08 479.00 1.4136 0
